bar,"beat (in total eighth notes elapsed, one bar has 6)","Pitch (1 is lowest root (e-flat), 12 is lowest d)",volume,pitch (name),pitch (as sharps),octave,,pitch key
#MACRO?,1,8,0,bflt,a#,3,1,eflt
#MACRO?,2,8,0,bflt,a#,3,2,eflt
#MACRO?,3,8,0,bflt,a#,3,3,f
#MACRO?,4,8,1,bflt,a#,3,4,gflt
#MACRO?,5,8,1,blft,a#,3,5,g
#MACRO?,6,12,1,d,d,4,6,aflt
#MACRO?,7,13,1,eflt,d#,4,7,a
#MACRO?,8,13,1,eflt,d#,4,8,bflt
#MACRO?,9,13,1,eflt,d#,4,9,b
#MACRO?,10,13,1,eflt,d#,4,10,c
#MACRO?,11,13,1,eflt,d#,4,11,dflt
#MACRO?,12,14,1,f,f,4,12,d
#MACRO?,13,16,1,g,g,4,,
#MACRO?,14,16,1,g,g,4,,
#MACRO?,15,16,1,g,g,4,,
#MACRO?,16,14,1,f,f,4,,
#MACRO?,17,14,1,f,f,4,,
#MACRO?,18,13,1,eflt,d#,4,,
#MACRO?,19,14,1,f,f,4,,
#MACRO?,20,14,1,f,f,4,,
#MACRO?,21,14,1,f,f,4,,
#MACRO?,22,14,1,f,f,4,,
#MACRO?,23,14,1,f,f,4,,
#MACRO?,24,13,1,eflt,d#,4,,
#MACRO?,25,10,1,c,c,4,,
#MACRO?,26,10,1,c,c,4,,
#MACRO?,27,10,1,c,c,4,,
#MACRO?,28,8,1,bflt,a#,3,,
#MACRO?,29,8,1,bflt,a#,3,,
#MACRO?,30,11,1,d,d,4,,
#MACRO?,31,13,1,eflt,d#,4,,
#MACRO?,32,13,1,eflt,d#,4,,
#MACRO?,33,13,1,eflt,d#,4,,
#MACRO?,34,13,1,eflt,d#,4,,
#MACRO?,35,13,1,eflt,d#,4,,
#MACRO?,36,12,1,d,d,4,,
#MACRO?,37,13,1,eflt,d#,4,,
#MACRO?,38,13,1,eflt,d#,4,,
#MACRO?,39,13,1,eflt,d#,4,,
#MACRO?,40,16,1,g,g,4,,
#MACRO?,41,16,1,g,g,4,,
#MACRO?,42,18,1,bflt,a#,4,,
#MACRO?,43,20,1,c,c,5,,
#MACRO?,44,20,1,c,c,5,,
#MACRO?,45,20,1,c,c,5,,
#MACRO?,46,20,1,c,c,5,,
#MACRO?,47,20,1,c,c,5,,
#MACRO?,48,20,1,c,c,5,,
#MACRO?,49,18,1,bflt,a#,4,,
#MACRO?,50,18,1,bflt,a#,4,,
#MACRO?,51,18,1,bflt,a#,4,,
#MACRO?,52,,1,,,,,
#MACRO?,53,,1,,,,,
#MACRO?,54,,1,,,,,
#MACRO?,55,,1,,,,,
#MACRO?,56,,1,,,,,
#MACRO?,57,,1,,,,,
#MACRO?,58,,1,,,,,
#MACRO?,59,,1,,,,,
#MACRO?,60,,1,,,,,
#MACRO?,61,,1,,,,,
#MACRO?,62,,1,,,,,
#MACRO?,63,,1,,,,,
#MACRO?,64,,1,,,,,
#MACRO?,65,,1,,,,,
#MACRO?,66,,1,,,,,
#MACRO?,67,,1,,,,,
#MACRO?,68,,1,,,,,
#MACRO?,69,,1,,,,,
#MACRO?,70,,1,,,,,
#MACRO?,71,,1,,,,,
#MACRO?,72,,1,,,,,
#MACRO?,73,,1,,,,,
#MACRO?,74,,1,,,,,
#MACRO?,75,,1,,,,,
#MACRO?,76,,1,,,,,
#MACRO?,77,,1,,,,,
#MACRO?,78,,1,,,,,
#MACRO?,79,,1,,,,,
#MACRO?,80,,1,,,,,
#MACRO?,81,,1,,,,,
#MACRO?,82,,1,,,,,
#MACRO?,83,,1,,,,,
#MACRO?,84,,1,,,,,
#MACRO?,85,,1,,,,,
#MACRO?,86,,1,,,,,
#MACRO?,87,,1,,,,,
#MACRO?,88,,1,,,,,
#MACRO?,89,,1,,,,,
#MACRO?,90,,1,,,,,
#MACRO?,91,,1,,,,,
#MACRO?,92,,1,,,,,
#MACRO?,93,,1,,,,,
#MACRO?,94,,1,,,,,
#MACRO?,95,,1,,,,,
#MACRO?,96,,1,,,,,
#MACRO?,97,,1,,,,,
#MACRO?,98,,1,,,,,
#MACRO?,99,,1,,,,,
#MACRO?,100,,1,,,,,
#MACRO?,101,,1,,,,,
#MACRO?,102,,1,,,,,
